# 2025-04-25 01:59:50
# 4b769253f54cd2fd163ac537443b4a50
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
0.000000000000000000e+00;-3.640346721391840568e-02;6.606642398307058239e-02;4.985680010676399321e-02;0.000000000000000000e+00;4.999925501835408070e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
3.403957601089622337e-02;-2.406855983465724502e-03;6.777614906244452952e-02;5.050453822871178028e-02;0.000000000000000000e+00;4.999926958705415814e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
6.806527219792057881e-02;3.157455464152203461e-02;6.951158357508166463e-02;5.115025735356858866e-02;0.000000000000000000e+00;4.999929789776276223e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.020772703133184800e-01;6.554093249423192935e-02;7.127260355474376863e-02;5.185858920209587830e-02;0.000000000000000000e+00;4.999933837249529667e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.360757518265192367e-01;9.949244540784842050e-02;7.305908503519255304e-02;5.256395446868170757e-02;0.000000000000000000e+00;4.999938882350307701e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.700608979246226726e-01;1.334292612155568714e-01;7.487090405018966000e-02;5.333118755387632193e-02;0.000000000000000000e+00;4.999944664381100523e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
2.040328895128967757e-01;1.673515477505420068e-01;7.670793663349688429e-02;5.409511169306909645e-02;0.000000000000000000e+00;4.999950902435710276e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
2.379919072152949233e-01;2.012594728459899673e-01;7.857005881887589582e-02;5.485571128788598039e-02;0.000000000000000000e+00;4.999957317330713025e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
2.719381313749843487e-01;2.351532043350856027e-01;8.045714664008840611e-02;5.561297083503989602e-02;0.000000000000000000e+00;4.999963651449527369e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
3.058717420548952570e-01;2.690329100510144844e-01;8.236907613089614055e-02;5.636687492708261638e-02;0.000000000000000000e+00;4.999969684629762767e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
3.397929190382823483e-01;3.028987578269613512e-01;8.430572332506082456e-02;5.711740825314982895e-02;0.000000000000000000e+00;4.999975244871747826e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
3.737018418293055477e-01;3.367509154961119688e-01;8.626696425634419740e-02;5.786455559969692214e-02;0.000000000000000000e+00;4.999980213392411166e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
4.075986896536230031e-01;3.705895508916512981e-01;8.825267495850788735e-02;5.860830185122607033e-02;0.000000000000000000e+00;4.999984524275888020e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
4.414836414590021518e-01;4.044148318467640779e-01;9.026273146531367531e-02;5.934863199100570696e-02;0.000000000000000000e+00;4.999988159576782998e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
4.753568759159486068e-01;4.382269261946372119e-01;9.229700981052328668e-02;6.008553110178133094e-02;0.000000000000000000e+00;4.999991141140509576e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
5.092185714183425915e-01;4.720260017684542730e-01;9.435538602789840523e-02;6.081898436647807660e-02;0.000000000000000000e+00;4.999993520583810636e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
5.430689060841030757e-01;5.058122264014014435e-01;9.643773615120071474e-02;6.154897706889354142e-02;0.000000000000000000e+00;4.999995368834913911e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
5.769080577558565182e-01;5.395857679266633511e-01;9.854393621419196836e-02;6.227549459438347368e-02;0.000000000000000000e+00;4.999996766408957072e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
6.107362040016293125e-01;5.733467941774259558e-01;1.006738622506339054e-01;6.299852243053831458e-02;0.000000000000000000e+00;4.999997795255462840e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
6.445535221155495043e-01;6.070954729868737187e-01;1.028273902942881679e-01;6.371804616785074760e-02;0.000000000000000000e+00;4.999998532633680881e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
6.783601891185704336e-01;6.408319721881933217e-01;1.050043963789165646e-01;6.443405150037481710e-02;0.000000000000000000e+00;4.999999047115025519e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
7.121563817592014844e-01;6.745564596145683378e-01;1.072047565382807238e-01;6.514652422637648432e-02;0.000000000000000000e+00;4.999999396528828299e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
7.459422765142645906e-01;7.082691030991851155e-01;1.094283468061423986e-01;6.585545024897518362e-02;0.000000000000000000e+00;4.999999627484178255e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
7.797180495896567365e-01;7.419700704752284492e-01;1.116750432162632728e-01;6.656081557677663574e-02;0.000000000000000000e+00;4.999999776019599551e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
8.134838769211333309e-01;7.756595295758833553e-01;1.139447218024050995e-01;6.726260632449644616e-02;0.000000000000000000e+00;4.999999868937955227e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
8.472399341751062352e-01;8.093376482343361822e-01;1.162372585983296042e-01;6.796080871357572384e-02;0.000000000000000000e+00;4.999999925449324145e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
8.809863967494522274e-01;8.430045942837706141e-01;1.185525296377984705e-01;6.865540907278724903e-02;0.000000000000000000e+00;4.999999958840255054e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
9.147234397743463363e-01;8.766605355573738878e-01;1.208904109545734240e-01;6.934639383883213493e-02;0.000000000000000000e+00;4.999999977988234257e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
9.484512381130970615e-01;9.103056398883292433e-01;1.232507785824161484e-01;7.003374955692887038e-02;0.000000000000000000e+00;4.999999988628126779e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
9.821699663630113486e-01;9.439400751098235842e-01;1.256335085550884245e-01;7.071746288139256487e-02;0.000000000000000000e+00;4.999999994343976795e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.015879798856260896e+00;9.775640090550413719e-01;1.280384769063518946e-01;7.139752057620517289e-02;0.000000000000000000e+00;4.999999997303200772e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.049580909660772443e+00;1.011177609557167401e+00;1.304655596699682563e-01;7.207390951557683667e-02;0.000000000000000000e+00;4.999999998773542842e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.083273472581131047e+00;1.044781044449387908e+00;1.329146328796993182e-01;7.274661668449786123e-02;0.000000000000000000e+00;4.999999999471063106e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.116957661159494020e+00;1.078374481564887688e+00;1.353855725693067502e-01;7.341562917928312615e-02;0.000000000000000000e+00;4.999999999785072369e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.150633648676524512e+00;1.111958088736852091e+00;1.378782547725522778e-01;7.408093420810540897e-02;0.000000000000000000e+00;4.999999999918288474e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.184301608152337426e+00;1.145532033798466243e+00;1.403925555231975153e-01;7.474251909152028472e-02;0.000000000000000000e+00;4.999999999971119991e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.217961712347460868e+00;1.179096484582916160e+00;1.429283508550043824e-01;7.540037126298296255e-02;0.000000000000000000e+00;4.999999999990494715e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.251614133763808256e+00;1.212651608923384972e+00;1.454855168017343547e-01;7.605447826935482492e-02;0.000000000000000000e+00;4.999999999996921574e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.285259044645675530e+00;1.246197574653060913e+00;1.480639293971493520e-01;7.670482777140173736e-02;0.000000000000000000e+00;4.999999999998696154e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.318896616980735237e+00;1.279734549605127336e+00;1.506634646750109885e-01;7.735140754428197762e-02;0.000000000000000000e+00;4.999999999998880895e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.352527022501062381e+00;1.313262701612769812e+00;1.532839986690809342e-01;7.799420547802611570e-02;0.000000000000000000e+00;4.999999999998467004e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.386150432684164491e+00;1.346782198509173911e+00;1.559254074131210255e-01;7.863320957800812305e-02;0.000000000000000000e+00;4.999999999997687183e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.419767018754026999e+00;1.380293208127524318e+00;1.585875669408928490e-01;7.926840796540562950e-02;0.000000000000000000e+00;4.999999999996504130e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.453376951682176621e+00;1.413795898301007048e+00;1.612703532861582412e-01;7.989978887765324111e-02;0.000000000000000000e+00;4.999999999994766853e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.486980402188752715e+00;1.447290436862806784e+00;1.639736424826788164e-01;8.052734066888460329e-02;0.000000000000000000e+00;4.999999999992234656e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.520577540743598854e+00;1.480776991646109542e+00;1.666973105642163278e-01;8.115105181036630366e-02;0.000000000000000000e+00;4.999999999988575361e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.554168537567361286e+00;1.514255730484099782e+00;1.694412335645325562e-01;8.177091089092358711e-02;0.000000000000000000e+00;4.999999999983327115e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.587753562632607141e+00;1.547726821209961967e+00;1.722052875173890329e-01;8.238690661735544041e-02;0.000000000000000000e+00;4.999999999975853093e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.621332785664956422e+00;1.581190431656883444e+00;1.749893484565475943e-01;8.299902781484100323e-02;0.000000000000000000e+00;4.999999999965283770e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.654906376144219537e+00;1.614646729658049118e+00;1.777932924157700212e-01;8.360726342733625083e-02;0.000000000000000000e+00;4.999999999950437868e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.688474503305554819e+00;1.648095883046643007e+00;1.806169954288179280e-01;8.421160251796319662e-02;0.000000000000000000e+00;4.999999999929714001e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.722037336140641361e+00;1.681538059655850681e+00;1.834603335294530679e-01;8.481203426938940804e-02;0.000000000000000000e+00;4.999999999900964553e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.755595043398859856e+00;1.714973427318857935e+00;1.863231827514371108e-01;8.540854798419653116e-02;0.000000000000000000e+00;4.999999999861312716e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.789147793588488522e+00;1.748402153868850561e+00;1.892054191285318654e-01;8.600113308524182099e-02;0.000000000000000000e+00;4.999999999806936657e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.822695754977910809e+00;1.781824407139012578e+00;1.921069186944989737e-01;8.658977911601013766e-02;0.000000000000000000e+00;4.999999999732772871e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.856239095596839528e+00;1.815240354962529334e+00;1.950275574831001058e-01;8.717447574095699148e-02;0.000000000000000000e+00;4.999999999632152026e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.889777983237551640e+00;1.848650165172586624e+00;1.979672115280970701e-01;8.775521274584185960e-02;0.000000000000000000e+00;4.999999999496334446e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.923312585456134149e+00;1.882054005602369573e+00;2.009257568632514812e-01;8.833198003805220466e-02;0.000000000000000000e+00;4.999999999313908816e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.956843069573745764e+00;1.915452044085063754e+00;2.039030695223251755e-01;8.890476764691981892e-02;0.000000000000000000e+00;4.999999999070048773e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.990369602677888317e+00;1.948844448453854517e+00;2.068990255390798505e-01;8.947356572402777319e-02;0.000000000000000000e+00;4.999999998745570551e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
