# 2025-05-05 20:53:47
# 200b3284d5890f09b2bd52dbd4eb2559
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
0.000000000000000000e+00;4.381020125950760402e+00;-1.164764396308569694e+01;1.445950006627649387e+00;1.807831836944353860e-03;4.465482419286390225e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
8.999999999999999667e-02;4.392219163848030128e+00;-1.155834345065165891e+01;1.446112711492975045e+00;2.093918804243699583e-03;4.468503488427030490e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.799999999999999933e-01;4.403399626950280421e+00;-1.146904061081279913e+01;1.446326912012414034e+00;2.595412256766849168e-03;4.474655614236096035e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.700000000000000178e-01;4.414557842202467164e+00;-1.137973498846934639e+01;1.446579885699192936e+00;2.970969313306426329e-03;4.482134376962213729e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
3.599999999999999867e-01;4.425692028713999804e+00;-1.129042636726505400e+01;1.446861686488809084e+00;3.294688594467132248e-03;4.488988412482270540e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
4.499999999999999556e-01;4.436799027508921078e+00;-1.120111436078483358e+01;1.447172929646196593e+00;3.620107235350999986e-03;4.494086095203236653e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
5.400000000000000355e-01;4.447876427210252892e+00;-1.111179867843148372e+01;1.447513305791172655e+00;3.942569752377167447e-03;4.497247777958762960e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
6.300000000000000044e-01;4.458921852072140091e+00;-1.102247903622725467e+01;1.447882592201624519e+00;4.266696999490449116e-03;4.498900588223837538e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
7.199999999999999734e-01;4.469931997812121693e+00;-1.093315503858280735e+01;1.448281311251080616e+00;4.588064015351278613e-03;4.499620081254646742e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
8.099999999999999423e-01;4.480905522456132495e+00;-1.084382653463027246e+01;1.448708443724387784e+00;4.911069232331755074e-03;4.499890937880635100e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
8.999999999999999112e-01;4.491837984173314702e+00;-1.075449299606313325e+01;1.449165303712900865e+00;5.231648280627609893e-03;4.499972653115782428e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
9.899999999999999911e-01;4.502729266348481474e+00;-1.066515442769033406e+01;1.449650140414901145e+00;5.553547486975674019e-03;4.499994746954168789e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
