# 2025-04-25 03:55:41
# b31424b7fbb00b981aa6a1f5d45f886e
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
0.000000000000000000e+00;-3.640346721391840568e-02;6.606642398307058239e-02;4.985680010676407647e-02;1.944742869517139885e-02;4.999925501835408070e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
8.999999999999999667e-02;5.347986141279562761e-02;7.064728556403432336e-02;5.160706868932951608e-02;2.054381585989073500e-02;4.999932400038213487e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.799999999999999933e-01;1.433538212056691130e-01;7.540836015763749400e-02;5.355468696154419561e-02;2.201481690569168093e-02;4.999946489433404473e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.700000000000000178e-01;2.332180699853773631e-01;8.034940493378146809e-02;5.556973573235390873e-02;2.226646114530683729e-02;4.999963289808293077e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
3.599999999999999867e-01;3.230720111905405756e-01;8.547447039874755959e-02;5.756264996769955289e-02;2.202314635507157670e-02;4.999978205723672353e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
4.499999999999999556e-01;4.129158186319065171e-01;9.077418672011117184e-02;5.953390207626663155e-02;2.177858451968395226e-02;4.999988909197128351e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
5.400000000000000355e-01;5.027491325986744863e-01;9.624894815173969109e-02;6.148279518124288856e-02;2.152495533576281872e-02;4.999995201270571954e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
6.300000000000000044e-01;5.925714902816425766e-01;1.019006042640004106e-01;6.340839403670406327e-02;2.126839386506723661e-02;4.999998215297747350e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
7.199999999999999734e-01;6.823830720899372038e-01;1.077209776806096059e-01;6.531110607695467252e-02;2.101001780511962957e-02;4.999999450146635382e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
8.099999999999999423e-01;7.721835321452850120e-01;1.137105418201696527e-01;6.719019724162578200e-02;2.074294355506500764e-02;4.999999859350862330e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
8.999999999999999112e-01;8.619724900157064162e-01;1.198701183716785190e-01;6.904483591686627619e-02;2.047348722794584130e-02;4.999999969631718777e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
9.899999999999999911e-01;9.517501564518671131e-01;1.261921284500421292e-01;7.087542494265575144e-02;2.020234706919510348e-02;4.999999995031338074e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.080000000000000071e+00;1.041516231291317540e+00;1.326766879652626352e-01;7.268125838932171234e-02;1.992257512133499553e-02;4.999999999403294204e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.169999999999999929e+00;1.131270361458499796e+00;1.393245209683059704e-01;7.446148846449629488e-02;1.964065012804472321e-02;4.999999999948678386e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.260000000000000009e+00;1.221012813456238799e+00;1.461281763469708117e-01;7.621657541236981359e-02;1.935786961205782086e-02;4.999999999997363886e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.349999999999999867e+00;1.310743362543511648e+00;1.530870891086591468e-01;7.794590499466647060e-02;1.906622297551779921e-02;4.999999999998498090e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
