# 2025-05-05 20:54:53
# 65a379ab274562b0a51ef68ec8f82942
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
0.000000000000000000e+00;7.842974306580996480e-02;4.253465748381298206e-01;2.197713467119655206e-02;2.286730244477885518e-02;6.977464559749741113e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
8.999999999999999667e-02;1.684054638868066889e-01;4.274359528082469772e-01;2.403519189122693689e-02;2.424197392023200170e-02;6.979570830140003679e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.799999999999999933e-01;2.583759420746433166e-01;4.297398908653909388e-01;2.634068997683858271e-02;2.593440609138900066e-02;6.983870516516584637e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.700000000000000178e-01;3.483407777836364794e-01;4.322547398411453190e-01;2.870338498767655011e-02;2.597555032086842908e-02;6.988977865011590573e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
3.599999999999999867e-01;4.382993269994355789e-01;4.349852472962573713e-01;3.101628903459463515e-02;2.543314233526880463e-02;6.993488805537666053e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
4.499999999999999556e-01;5.282515218056226258e-01;4.379175338727467892e-01;3.328135060802495104e-02;2.489954989108741912e-02;6.996702664708465136e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
5.400000000000000355e-01;6.181970438395214540e-01;4.410479747135553907e-01;3.549820801499059542e-02;2.435130541347119149e-02;6.998588662235841085e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
6.300000000000000044e-01;7.081353127475762399e-01;4.443803131862572031e-01;3.766458558245000532e-02;2.380125887400591500e-02;6.999477694388999360e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
7.199999999999999734e-01;7.980663858078010930e-01;4.479014354864985226e-01;3.978243461231167899e-02;2.326032200297686869e-02;6.999839546785270095e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
8.099999999999999423e-01;8.879900310665975738e-01;4.516075201932094885e-01;4.185144354298575564e-02;2.270485683660794507e-02;6.999959931883906528e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
8.999999999999999112e-01;9.779057234397978693e-01;4.555017999618855007e-01;4.386930884290096699e-02;2.214775071098296078e-02;6.999991340446704235e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
9.899999999999999911e-01;1.067813636256199850e+00;4.595716812980639721e-01;4.583803867096269968e-02;2.160062830771036779e-02;6.999998579845787994e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.080000000000000071e+00;1.157713629067314010e+00;4.638129967858483638e-01;4.775742193828902415e-02;2.103880416142683840e-02;6.999999839133574930e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.169999999999999929e+00;1.247605220187306019e+00;4.682288142715969048e-01;4.962502342001950950e-02;2.047519535019831638e-02;6.999999985991269824e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.260000000000000009e+00;1.337488691604198365e+00;4.728068894381605158e-01;5.144295710132462673e-02;1.992245001365033907e-02;6.999999999393505590e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.349999999999999867e+00;1.427363982768413919e+00;4.775429061981306678e-01;5.321106442247680590e-02;1.935559072456061180e-02;6.999999999988451016e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.439999999999999947e+00;1.517230689397579324e+00;4.824391312311380187e-01;5.492696343174552354e-02;1.878652968175675841e-02;6.999999999981963761e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.530000000000000027e+00;1.607089148995654249e+00;4.874844159417698330e-01;5.659263976519302020e-02;1.822825518395099209e-02;6.999999999951909579e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.619999999999999885e+00;1.696939386219550761e+00;4.926741172584611639e-01;5.820804936485668435e-02;1.765750438706958914e-02;6.999999999879459978e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.709999999999999964e+00;1.786781098124206935e+00;4.980093885092419792e-01;5.977099055486556622e-02;1.708389383957203966e-02;6.999999999705056375e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.799999999999999822e+00;1.876614636110976120e+00;5.034805430251245717e-01;6.128315025597963484e-02;1.652042459471381175e-02;6.999999999310968946e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.889999999999999902e+00;1.966440115436616454e+00;5.090824791668980831e-01;6.274466698191405456e-02;1.594668112642289026e-02;6.999999998462315354e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.979999999999999982e+00;2.056257339893515113e+00;5.148152636862978193e-01;6.415355285873580726e-02;1.536921192396412117e-02;6.999999996638202937e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.069999999999999840e+00;2.146066654024274545e+00;5.206706508530426492e-01;6.551112512822721001e-02;1.480102867263100030e-02;6.999999992892608880e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.160000000000000142e+00;2.235868261100066423e+00;5.266430935629096144e-01;6.681773801980916971e-02;1.422511114677937893e-02;6.999999985502381783e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.250000000000000000e+00;2.325662072499131927e+00;5.327316356157992816e-01;6.807164513464769584e-02;1.364442681695265946e-02;6.999999970970744556e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
